"V1","word"
32814,"in"
102726,"the"
1856,"years"
18,"thereafter"
2236,"most"
48436,"of"
342,"oil"
72,"fields"
60097,"and"
12,"platforms"
4879,"were"
188,"named"
2627,"after"
8,"pagan"
244,"gods"
10431,"we"
2466,"love"
16403,"you"
417,"mr"
283,"brown"
11,"chad"
5123,"has"
4354,"been"
257,"awesome"
15843,"with"
801,"kids"
146,"holding"
1898,"down"
30,"fort"
1967,"while"
42702,"i"
2009,"work"
701,"later"
2762,"than"
176,"usual"
12069,"have"
283,"busy"
852,"together"
346,"playing"
1,"skylander"
15474,"on"
7,"xbox"
6,"kyan"
1,"cashed"
5970,"his"
NA,""
8220,"from"
9,"piggy"
160,"bank"
8173,"he"
822,"wanted"
25152,"that"
516,"game"
9171,"so"
702,"bad"
1313,"used"
262,"gift"
561,"card"
287,"birthday"
80,"saving"
669,"money"
58847,"to"
3949,"get"
21988,"it"
1707,"never"
9,"taps"
3436,"into"
1282,"thing"
550,"either"
24137,"is"
3680,"how"
3378,"know"
2004,"made"
2808,"him"
138,"count"
7892,"all"
2718,"make"
1320,"sure"
5753,"had"
1030,"enough"
15260,"was"
2714,"very"
247,"cute"
465,"watch"
67,"reaction"
5701,"when"
201,"realized"
2177,"did"
3029,"also"
1129,"does"
49691,"a"
2767,"good"
564,"job"
117,"letting"
4,"lola"
1385,"feel"
5430,"like"
4987,"she"
2091,"too"
6833,"by"
5818,"her"
54,"switch"
6026,"out"
313,"characters"
218,"loves"
689,"almost"
12418,"as"
2751,"much"
59,"anyways"
2663,"am"
2183,"going"
556,"share"
4894,"some"
1571,"home"
25,"decor"
152,"inspiration"
8,"storing"
15061,"my"
31,"folder"
2,"puter"
2585,"these"
395,"amazing"
199,"images"
29,"stored"
1122,"away"
427,"ready"
1436,"come"
2192,"life"
4735,"our"
26,"graduation"
392,"season"
1950,"right"
1828,"around"
171,"corner"
25,"nancy"
33,"whipped"
5852,"up"
850,"fun"
852,"set"
997,"help"
9637,"not"
2855,"only"
5532,"your"
237,"cards"
118,"gifts"
11367,"but"
2230,"any"
68,"occasion"
148,"brings"
644,"change"
505,"ones"
52,"stamped"
15,"memento"
4,"tuxedo"
638,"black"
487,"cut"
4347,"them"
120,"circle"
6,"nestabilities"
19,"embossed"
23,"kraft"
473,"red"
31,"cardstock"
1,"tes"
3021,"new"
139,"stars"
20,"impressions"
77,"plate"
3911,"which"
136,"double"
12,"sided"
253,"gives"
1404,"2"
131,"fantastic"
80,"patterns"
5519,"can"
2719,"see"
1309,"use"
32,"plates"
14232,"this"
31,"tutorial"
30,"taylor"
307,"created"
5639,"just"
6846,"one"
215,"pass"
1940,"through"
250,"die"
127,"machine"
690,"using"
36,"embossing"
32,"pad"
99,"kit"
1564,"need"
5068,"do"
269,"super"
489,"easy"
5973,"if"
5897,"an"
96,"alternative"
79,"argument"
387,"lets"
483,"hear"
99,"bear"
3117,"other"
981,"friends"
249,"similar"
384,"stories"
7509,"they"
88,"treated"
1,"brusquely"
2,"laurelwood"
157,"staff"
723,"often"
1350,"same"
160,"names"
981,"keep"
576,"coming"
6346,"about"
4,"halfdozen"
258,"mine"
48,"refuse"
271,"step"
125,"foot"
5406,"there"
1135,"ever"
1412,"again"
3181,"because"
2180,"many"
785,"others"
410,"theyre"
243,"telling"
177,"keeping"
385,"guess"
538,"although"
59,"beloved"
1,"cantab"
1223,"cant"
156,"claim"
189,"international"
40,"recognition"
10,"afforded"
141,"station"
18,"inn"
146,"otherwise"
2286,"two"
19,"joints"
32,"twins"
27,"separated"
747,"nothing"
5069,"more"
127,"distance"
279,"complete"
200,"lack"
6,"pretense"
11481,"be"
1,"imitated"
7948,"or"
1,"approximated"
4958,"their"
3,"ordinariness"
806,"makes"
424,"special"
149,"peter"
4,"schiff"
805,"hard"
839,"tell"
6261,"will"
1453,"look"
860,"pretty"
19760,"for"
111,"americans"
110,"prices"
2339,"go"
2637,"way"
71,"afford"
410,"buy"
526,"stuff"
2446,"could"
764,"far"
178,"loss"
186,"individual"
45,"liberty"
1252,"lot"
3277,"people"
92,"blame"
27,"capitalism"
190,"freedom"
447,"government"
6,"impetus"
17,"regulation"
4532,"would"
57,"disaster"
86,"rid"
42,"causing"
439,"problem"
428,"whether"
462,"wrong"
2400,"here"
237,"america"
266,"pain"
2913,"first"
1843,"got"
203,"serious"
234,"problems"
331,"deal"
10491,"are"
94,"dealing"
182,"worse"
988,"3"
187,"winter"
4991,"time"
14,"sleeps"
356,"level"
159,"turning"
471,"within"
171,"contact"
1533,"own"
2,"innermost"
2187,"being"
1260,"best"
268,"result"
81,"answers"
398,"yourself"
360,"whatever"
78,"concerns"
13,"tremendously"
197,"creative"
113,"artists"
98,"kinds"
508,"turn"
119,"seek"
108,"forms"
51,"wishes"
131,"produce"
112,"medium"
105,"chosen"
304,"image"
143,"balance"
93,"presented"
2111,"those"
555,"write"
107,"suggest"
14,"plots"
296,"ideas"
225,"speak"
1,"imbalanced"
277,"situation"
741,"person"
1625,"world"
4729,"who"
2,"priscilla"
864,"making"
95,"designs"
1756,"say"
677,"remember"
329,"brought"
747,"white"
422,"challenge"
6133,"what"
211,"changes"
19,"manifest"
517,"ask"
139,"environment"
1,"enroute"
8,"cornwall"
75,"34"
585,"months"
6,"slog"
257,"sun"
161,"sea"
1508,"always"
466,"needs"
935,"doing"
37,"tourist"
370,"town"
3756,"im"
104,"bringing"
2786,"back"
13,"97"
279,"friday"
15,"cancel"
68,"bills"
2065,"before"
35,"retreat"
1334,"such"
227,"moved"
11,"leeds"
145,"promise"
3,"millies"
1094,"went"
63,"nowhere"
410,"move"
92,"pure"
494,"large"
46,"leaf"
1,"assam"
3766,"no"
3,"waffling"
444,"thank"
2057,"want"
330,"strong"
343,"dark"
3,"herby"
5,"frills"
92,"goodness"
66,"sake"
157,"fruit"
2,"mixers"
7,"sweetener"
1378,"why"
221,"tea"
207,"mention"
173,"effect"
1093,"night"
142,"sky"
291,"issue"
112,"raised"
212,"report"
70,"ignore"
3,"lancing"
16,"parish"
116,"council"
49,"lighting"
417,"including"
19,"indoor"
94,"football"
44,"pitch"
8,"dome"
1513,"should"
212,"subject"
182,"planning"
74,"condition"
86,"ensure"
3,"utilised"
9415,"at"
115,"appropriate"
974,"times"
159,"necessary"
8,"safeguard"
26,"skies"
10,"adjacent"
4,"np"
564,"state"
19,"contracts"
348,"worth"
2858,"over"
224,"100"
222,"million"
2,"ringgit"
2,"unknowing"
2,"transformers"
2218,"things"
35,"protected"
7,"fairytale"
10,"astounding"
1176,"though"
436,"support"
3,"marshals"
21,"phenomenal"
203,"rain"
1282,"long"
86,"remaining"
16,"cheery"
28,"supportive"
127,"bunch"
11,"owing"
278,"nature"
923,"course"
1704,"few"
133,"closed"
61,"roads"
223,"meant"
35,"supporters"
539,"knew"
383,"area"
812,"able"
45,"skip"
602,"seen"
879,"5"
486,"6"
96,"attend"
639,"friend"
1,"kendras"
182,"wedding"
202,"joy"
1088,"end"
304,"waiting"
32,"neighbor"
53,"recommended"
28,"chasing"
6,"fireflies"
65,"charles"
49,"martin"
791,"id"
1119,"read"
886,"anything"
63,"neighbors"
510,"favorite"
209,"author"
1030,"story"
61,"chase"
39,"journalist"
440,"parents"
46,"adopted"
5,"unc"
35,"colorful"
27,"resident"
772,"small"
39,"georgia"
235,"whose"
7,"sayings"
766,"kind"
692,"heart"
33,"memorable"
395,"character"
20,"investigating"
1571,"another"
12,"orphan"
3,"mute"
323,"boy"
85,"pushed"
514,"car"
161,"train"
70,"tracks"
318,"hit"
143,"killed"
15,"loser"
3,"custodial"
101,"parent"
3,"fallout"
15,"ellen"
8,"hopkins"
236,"p"
2,"1140"
1,"obamacongress"
319,"etc"
1044,"give"
276,"likely"
532,"group"
4,"announces"
1310,"next"
48,"device"
2,"detonated"
13,"populated"
63,"warning"
162,"obama"
26,"et"
79,"al"
35,"submit"
1,"midsized"
303,"major"
572,"city"
14,"tens"
105,"thousands"
2559,"think"
6,"atomic"
12,"bombs"
224,"ended"
14,"wwii"
271,"april"
499,"month"
15,"beginnings"
24,"firstly"
576,"finally"
276,"finished"
20,"exams"
908,"ill"
17,"graduating"
1775,"may"
2115,"still"
213,"feels"
141,"weird"
529,"business"
118,"degree"
1857,"ive"
688,"working"
480,"four"
3305,"now"
403,"process"
856,"looking"
21,"secondly"
312,"began"
249,"moving"
65,"boyfriend"
1308,"thats"
1096,"bit"
1,"nervewrecking"
554,"reading"
676,"books"
2026,"last"
1436,"week"
422,"gave"
7830,"me"
220,"opportunity"
65,"relax"
463,"enjoy"
47,"successfully"
551,"several"
6,"hefty"
84,"novels"
733,"happy"
120,"progress"
222,"quality"
191,"picked"
25,"fellowship"
94,"ring"
76,"surprisingly"
115,"considering"
64,"fears"
4,"tolkien"
629,"writing"
129,"loving"
23,"clash"
57,"kings"
2862,"even"
904,"took"
12,"liberties"
42,"concerning"
135,"plot"
120,"master"
4,"margarita"
56,"russian"
262,"novel"
6233,"its"
35,"refreshing"
3,"postpone"
39,"virginia"
2,"woolf"
546,"experience"
1434,"find"
86,"mood"
69,"returning"
188,"hoping"
1,"howie"
14,"smash"
585,"face"
317,"cake"
219,"sister"
312,"seemed"
98,"scared"
53,"staring"
2772,"us"
19,"cheering"
856,"started"
43,"dig"
54,"contains"
1,"dmae"
105,"provides"
2,"firming"
3,"toning"
114,"benefits"
9,"enhances"
17,"facial"
1,"contours"
3,"antiinflammatory"
146,"strength"
3,"antioxidant"
1,"therapiesvitamin"
225,"c"
1,"ester"
4,"patented"
157,"powerful"
11,"improves"
4,"firmness"
5,"elasticity"
2,"diminishes"
91,"appearance"
305,"fine"
205,"lines"
3,"wrinkles"
1,"discoloration"
5,"imparts"
6,"radiant"
117,"smooth"
4,"luminous"
7,"condemn"
227,"save"
365,"age"
433,"mom"
2748,"day"
8,"salesman"
430,"tried"
73,"breaking"
321,"phone"
346,"guy"
1541,"every"
317,"door"
991,"house"
13,"curled"
228,"kitchen"
42,"hiding"
559,"leave"
11,"scarred"
23,"trusting"
1378,"since"
407,"havent"
246,"changed"
673,"mind"
845,"point"
934,"show"
208,"kid"
324,"wants"
1475,"book"
1139,"better"
1,"craccc"
4,"hypothetically"
30,"bomb"
68,"threat"
411,"inside"
68,"airport"
601,"10"
702,"minutes"
9,"explode"
299,"building"
59,"whites"
47,"blacks"
1,"asianmiddle"
51,"eastern"
1,"descents"
95,"code"
1,"disarm"
330,"law"
23,"enforcement"
46,"conduct"
141,"random"
406,"check"
24,"eliminate"
41,"possibilities"
82,"checking"
291,"middle"
37,"statistics"
216,"reasons"
757,"believe"
609,"comes"
363,"certain"
249,"race"
6,"unlawful"
44,"profile"
1045,"man"
464,"goes"
81,"killing"
10,"spree"
3418,"then"
98,"waste"
477,"men"
618,"isnt"
386,"simple"
86,"smart"
368,"stay"
93,"facts"
713,"trying"
32,"politically"
11,"tis"
202,"join"
162,"tuesday"
136,"february"
111,"21"
201,"st"
118,"discussion"
125,"chapter"
502,"talk"
331,"personal"
174,"self"
334,"control"
187,"ability"
522,"true"
197,"ourselves"
208,"travel"
50,"gathering"
705,"free"
311,"meet"
30,"anc"
214,"earlier"
36,"approached"
343,"south"
3,"gauteng"
693,"high"
229,"court"
68,"grant"
99,"appeal"
36,"ruling"
104,"singing"
390,"song"
4,"unconstitutional"
26,"fitted"
151,"crime"
3,"incitement"
51,"32"
640,"weeks"
84,"pregnant"
80,"authority"
741,"everyone"
412,"company"
205,"particularly"
3,"strikers"
4,"recieved"
1,"companyorganised"
177,"secret"
50,"santa"
55,"attended"
2,"companyfunded"
7,"xmas"
439,"party"
2082,"where"
1,"partook"
7,"luncheon"
2,"vouchers"
224,"value"
1,"k100"
3,"pondered"
47,"permanent"
106,"solution"
59,"involves"
109,"smaller"
5,"chronological"
1,"blogrolls"
82,"organized"
1117,"blog"
275,"type"
324,"color"
12,"codes"
547,"seems"
359,"create"
86,"maintain"
75,"helpful"
141,"reader"
243,"scene"
3,"shays"
100,"apartment"
101,"prepare"
269,"chicken"
2,"fillets"
1,"flattening"
2529,"little"
202,"board"
79,"thin"
143,"roll"
69,"filling"
120,"fiction"
19,"nonfiction"
103,"appeared"
58,"magazines"
100,"reviews"
13,"oprah"
127,"magazine"
79,"featured"
287,"york"
1,"newsweek"
69,"usa"
1321,"today"
6,"npr"
164,"radio"
6,"sickening"
465,"feeling"
43,"costume"
1,"pricklewood"
764,"real"
11,"mccoy"
259,"onto"
41,"carpet"
7,"grasped"
271,"feet"
3,"armchair"
37,"toes"
34,"lifted"
1912,"off"
277,"ground"
103,"humans"
618,"asked"
35,"ed"
1,"switenky"
98,"manager"
88,"traffic"
37,"engineering"
51,"operations"
484,"couldnt"
217,"comment"
12,"shortterm"
19,"improvements"
1038,"might"
7,"governors"
347,"road"
559,"light"
64,"accident"
193,"doubt"
6,"foregoing"
41,"factors"
55,"immediate"
103,"crisis"
14,"murdoch"
114,"faces"
1,"bskybs"
4,"movers"
853,"must"
138,"wind"
145,"shape"
1,"bskyb"
373,"himself"
448,"simply"
26,"toxic"
20,"buyer"
374,"anyway"
2804,"well"
213,"clean"
197,"craft"
372,"space"
97,"mess"
192,"projects"
154,"hop"
448,"wonderful"
822,"hope"
455,"project"
529,"soon"
1218,"until"
1879,"take"
523,"care"
12,"almighty"
10,"everlasting"
1208,"god"
194,"spirit"
656,"whole"
480,"body"
52,"faithful"
8,"governed"
3,"sanctified"
183,"receive"
2,"supplications"
38,"prayers"
259,"offer"
298,"members"
152,"holy"
397,"church"
6,"vocation"
74,"ministry"
288,"truly"
2,"devoutly"
183,"serve"
295,"lord"
13,"savior"
446,"jesus"
229,"christ"
26,"amen"
33,"complaining"
23,"repeating"
823,"everything"
726,"already"
242,"dog"
533,"early"
378,"system"
220,"allow"
68,"daughters"
2,"gallivanting"
116,"streets"
184,"13"
336,"cup"
56,"tomato"
48,"paste"
436,"heard"
844,"someone"
6,"soandso"
567,"nice"
280,"seeing"
557,"call"
5,"quits"
131,"address"
30,"unfair"
104,"conditions"
26,"employer"
561,"stop"
121,"seat"
16,"subway"
16,"stool"
312,"certainly"
3,"softspoken"
11,"decidedly"
1,"nonconfrontational"
881,"doesnt"
571,"mean"
12,"nicer"
41,"relative"
607,"else"
90,"personality"
3,"assertive"
165,"honest"
5,"outspoken"
24,"hmmm"
205,"terms"
177,"traditional"
31,"instruments"
1,"zither"
1,"euphonium"
1,"harmonium"
97,"nose"
9,"flute"
235,"mix"
70,"harry"
1,"partch"
88,"thomas"
1,"truax"
29,"lifes"
1022,"having"
1960,"said"
343,"wouldnt"
13,"bash"
1,"truaxs"
478,"mother"
31,"superior"
369,"added"
64,"gallery"
255,"wall"
105,"t"
8,"ketchup"
6,"lovin"
117,"benefit"
29,"backing"
246,"band"
22,"consisting"
1,"purdie"
29,"drums"
1,"artie"
15,"butler"
14,"organ"
57,"piano"
101,"joe"
3,"mack"
195,"bill"
1,"salter"
48,"bass"
612,"play"
1135,"both"
76,"loose"
20,"funky"
1067,"without"
28,"sounding"
17,"sloppy"
207,"helped"
72,"laid"
26,"vibe"
12,"chandler"
238,"sounds"
29,"relaxed"
195,"album"
186,"songs"
198,"title"
228,"warm"
10,"poppy"
529,"number"
129,"presence"
18,"chorus"
158,"spot"
65,"gathered"
211,"provide"
36,"assistance"
165,"mothers"
94,"organization"
156,"helps"
17,"temper"
3,"chandlers"
39,"unfortunate"
31,"tendency"
258,"towards"
1,"overearnestness"
41,"naked"
25,"fool"
278,"relationship"
323,"gone"
13,"tapping"
161,"sold"
10,"reservations"
396,"interesting"
138,"male"
1,"groupie"
62,"bound"
101,"fly"
15,"soaring"
38,"lyrics"
47,"delivery"
12,"mesh"
598,"sometimes"
4,"eclipsed"
1,"bandcheck"
457,"behind"
441,"eyes"
1,"jazzpsychedelic"
4,"tangents"
71,"channel"
5,"sammy"
47,"davis"
30,"jr"
82,"worried"
662,"wasnt"
19,"unhealthy"
46,"comic"
40,"heroes"
14,"unrealistic"
78,"expectations"
18,"98"
248,"enjoyed"
244,"wife"
176,"thus"
6,"wading"
172,"opinion"
1,"pfftshite"
93,"prove"
179,"popular"
13,"punching"
20,"kitten"
50,"proved"
6,"unfounded"
2751,"really"
861,"youre"
22,"investing"
20,"residential"
94,"commercial"
51,"industrial"
151,"property"
59,"urban"
10,"redevelopment"
1,"authoritys"
1,"ura"
36,"guidelines"
40,"longterm"
128,"impact"
2,"propertys"
81,"values"
11,"frantic"
16,"sprint"
12,"corridor"
71,"pulling"
18,"reluctant"
16,"suitcase"
4,"bobbed"
165,"path"
270,"2011"
2,"sexiest"
561,"women"
131,"alive"
464,"list"
211,"include"
1,"modelturnedactress"
18,"rosie"
1,"huntingtonwhiteley"
50,"jazz"
126,"artist"
1,"esperanza"
1,"spalding"
204,"star"
2,"mila"
