"V1","word"
11267,"he"
452,"wasnt"
1513,"home"
145,"alone"
107,"apparently"
97910,"the"
1086,"st"
494,"louis"
182,"plant"
3994,"had"
44643,"to"
460,"close"
10833,"it"
3569,"would"
70,"die"
38268,"of"
488,"old"
283,"age"
361,"workers"
3377,"been"
541,"making"
195,"cars"
2752,"there"
1220,"since"
7,"onset"
86,"mass"
21,"automotive"
191,"production"
33301,"in"
13,"1920s"
1,"wsus"
406,"plans"
202,"quickly"
325,"became"
43923,"a"
230,"hot"
33,"topic"
13281,"on"
640,"local"
293,"online"
115,"sites"
689,"though"
1773,"most"
2387,"people"
13,"applauded"
17503,"for"
3424,"new"
6,"biomedical"
980,"center"
1549,"many"
2,"deplored"
232,"potential"
335,"loss"
493,"building"
1,"alaimo"
740,"group"
49,"mount"
17,"holly"
11441,"was"
3721,"up"
247,"contract"
2556,"last"
320,"fall"
21,"evaluate"
44136,"and"
69,"suggest"
74,"improvements"
93,"trenton"
532,"water"
302,"works"
7509,"but"
450,"campaign"
100,"finance"
267,"records"
311,"released"
6078,"this"
1090,"week"
840,"show"
2919,"two"
381,"employees"
48,"donated"
284,"total"
1013,"4"
371,"500"
388,"political"
249,"action"
338,"committee"
16,"pac"
110,"partners"
93,"progress"
667,"early"
307,"june"
357,"reported"
374,"gave"
4320,"more"
2889,"than"
1307,"10"
1840,"000"
1017,"both"
83,"direct"
3,"inkind"
67,"contributions"
293,"mayor"
110,"tony"
23,"mack"
466,"weeks"
201,"leading"
7745,"his"
239,"victory"
11,"mayoral"
12,"runoff"
255,"election"
614,"15"
3833,"when"
6087,"its"
480,"often"
229,"difficult"
27,"predict"
173,"laws"
174,"impact"
65,"legislators"
1099,"should"
1236,"think"
166,"twice"
1704,"before"
67,"carrying"
1321,"any"
658,"bill"
14208,"is"
78,"absolutely"
124,"necessary"
6113,"an"
415,"issue"
225,"serious"
603,"enough"
17,"merit"
4366,"their"
223,"attention"
5487,"will"
128,"definitely"
5518,"not"
1617,"make"
216,"situation"
105,"worse"
185,"certain"
216,"amount"
1,"scoffing"
1565,"going"
945,"around"
771,"few"
2549,"years"
627,"ago"
233,"nfl"
237,"decided"
445,"move"
223,"draft"
7479,"from"
263,"weekend"
103,"prime"
2546,"time"
NA,""
194,"eventually"
7,"splitting"
1377,"off"
2696,"first"
292,"round"
106,"separate"
1410,"day"
1,"14915"
1,"charlevoix"
226,"detroit"
2665,"just"
1071,"another"
917,"long"
504,"line"
200,"failed"
71,"attempts"
12,"subsidize"
102,"atlantic"
1792,"city"
12354,"said"
224,"americans"
15,"prosperity"
542,"jersey"
647,"director"
163,"steve"
1,"lonegan"
143,"conservative"
5467,"who"
453,"lost"
249,"christie"
416,"2009"
145,"gop"
184,"primary"
8,"revel"
99,"casino"
617,"hit"
20,"jackpot"
929,"here"
10573,"at"
703,"government"
46,"expense"
602,"again"
555,"report"
27,"sullivan"
725,"called"
31,"cps"
56,"correct"
279,"problems"
154,"improve"
124,"employee"
22,"accountability"
395,"saying"
222,"example"
17107,"that"
78,"measures"
647,"keep"
8,"submitting"
21,"fraudulent"
2,"invoices"
4860,"or"
266,"block"
5,"accessing"
24,"inappropriate"
29,"websites"
4376,"were"
839,"place"
33,"i"
498,"trying"
497,"hard"
9,"someplace"
257,""
4,"rizzo"
104,"pitch"
57,"opposite"
463,"field"
3,"leftcenter"
2,"im"
1453,"good"
138,"contact"
1,"mhta"
971,"president"
129,"ceo"
25,"margaret"
101,"anderson"
2,"kelliher"
269,"construction"
400,"likely"
194,"begin"
272,"soon"
32,"suite"
93,"offices"
137,"buildings"
324,"fourth"
198,"floor"
441,"near"
114,"historic"
79,"trading"
9,"absurdity"
35,"attempting"
67,"bottle"
560,"news"
1111,"such"
10,"magnitude"
935,"too"
42,"apparent"
660,"later"
110,"write"
102,"gm"
145,"labor"
69,"relations"
187,"vice"
7,"diana"
1,"tremblay"
449,"deal"
13,"enable"
7536,"be"
100,"fully"
91,"competitive"
6043,"has"
43,"eliminated"
53,"gap"
12714,"with"
2000,"our"
37,"competitors"
605,"why"
1,"wandry"
78,"matters"
303,"current"
542,"system"
1,"imposes"
119,"gift"
590,"tax"
188,"35"
117,"taxpayers"
574,"give"
93,"assets"
598,"away"
18,"exceptions"
100,"individuals"
1807,"now"
2153,"get"
4112,"one"
1191,"5"
730,"12"
1523,"million"
57,"lifetime"
14,"exemption"
5598,"they"
2860,"can"
2926,"also"
408,"13"
2788,"year"
19,"unlimited"
541,"number"
18,"recipients"
1001,"next"
206,"break"
213,"scheduled"
156,"drop"
2110,"1"
706,"top"
298,"rate"
116,"rise"
97,"55"
39,"cheap"
1319,"me"
909,"really"
496,"feel"
1494,"then"
28,"batum"
279,"rose"
320,"feet"
2,"squared"
8,"elbows"
94,"performed"
1035,"best"
2,"elbowthrowing"
27,"impression"
19,"suns"
1,"6foot10"
380,"forward"
1,"andrades"
654,"children"
22,"erin"
301,"son"
91,"patrick"
6947,"are"
99,"adults"
7,"intrigued"
6670,"by"
269,"opportunity"
936,"play"
6,"mentoring"
293,"role"
706,"life"
1101,"high"
1666,"school"
266,"student"
369,"let"
1585,"your"
89,"hair"
1299,"down"
187,"looks"
790,"better"
153,"born"
604,"april"
9,"1925"
1,"pozzuoli"
8,"naples"
61,"italy"
3723,"she"
4,"resided"
519,"north"
16,"plainfield"
3431,"her"
192,"marriage"
8,"1945"
912,"house"
53,"minority"
185,"leader"
42,"nancy"
11,"pelosi"
2504,"other"
266,"democrats"
2,"weiners"
27,"resignation"
512,"love"
23,"self"
959,"second"
850,"money"
46,"greek"
176,"words"
1,"philautos"
1,"philargyros"
2,"succinctly"
62,"express"
1010,"these"
11,"concepts"
7613,"i"
17,"detect"
36,"lie"
41,"root"
109,"worlds"
175,"certainly"
20,"diagnosis"
52,"novel"
11,"destructive"
49,"personality"
10,"traits"
25,"chronic"
225,"human"
351,"experience"
209,"further"
10,"possess"
10,"attributes"
20,"permitted"
740,"run"
6,"rampant"
1430,"through"
102,"communities"
6,"societies"
2,"detriment"
127,"greater"
128,"population"
9,"protester"
32,"seeks"
25,"curb"
20,"phenomenon"
204,"consider"
128,"2004"
4,"wyndham"
56,"bin"
5,"444"
489,"south"
104,"eastern"
23,"australia"
13,"cabernet"
23,"sauvignon"
659,"11"
434,"added"
382,"east"
232,"orange"
197,"robert"
1,"bowser"
4772,"we"
13,"tolerate"
420,"kind"
143,"violence"
24,"shooter"
131,"picked"
207,"wrong"
7,"apprehended"
433,"looking"
1605,"back"
68,"realize"
3288,"if"
7039,"have"
67,"stayed"
108,"gotten"
225,"wouldnt"
1525,"where"
343,"am"
492,"others"
56,"afraid"
570,"already"
65,"breast"
187,"cancer"
3,"mammogram"
2065,"could"
121,"spread"
209,"true"
368,"mr"
17,"buffett"
158,"guilty"
7,"conscience"
324,"increase"
68,"donations"
31,"charity"
194,"simply"
652,"pay"
248,"taxes"
34,"suggesting"
187,"raise"
46,"wealthy"
472,"lead"
2,"solves"
516,"youre"
501,"market"
22,"gently"
676,"used"
12,"highquality"
58,"furniture"
144,"youll"
1038,"want"
201,"check"
3508,"out"
5,"redesign"
3,"consignment"
50,"royal"
57,"oak"
35,"lovely"
131,"traditional"
1,"thomasville"
108,"dining"
186,"table"
354,"eight"
53,"chairs"
569,"less"
247,"200"
99,"todays"
69,"birthday"
1395,"may"
654,"9"
